Year,Nuclear,Hydro Run-of-River,Biomass,Fossil brown coal / lignite,Fossil coal-derived gas,Fossil hard coal,Fossil oil,Fossil gas,Geothermal,Hydro water reservoir,Others,Waste renewable,Waste non-renewable,Wind offshore,Wind onshore,Solar EEG grid feed-in
#,Energy (TWh),Energy (TWh),Energy (TWh),Energy (TWh),Energy (TWh),Energy (TWh),Energy (TWh),Energy (TWh),Energy (TWh),Energy (TWh),Energy (TWh),Energy (TWh),Energy (TWh),Energy (TWh),Energy (TWh),Energy (TWh)
2016,80.038,19.396,40.327,134.886,3.793,99.765,1.739,42.71,0.164,0.819,2.716,4.746,5.867,12.092,66.324,34.49
